[1] авиценный | 形容词 | 阿维森纳的；与阿维森纳有关的
[2] автовладелец | 名词 | 汽车车主；有车族
[3] автопарад | 名词 | 汽车游行；车队巡游
[4] адвокатка | 名词 | 女律师
[5] азовский | 形容词 | 亚速的；亚速海沿岸的
[6] айтишник | 名词 | IT从业者；程序员
[7] алла | 名词 | 阿拉（女性人名）
[8] альша | 名词 | 阿尔莎（人名音译，待核）
[9] анализироваться | 动词 | 被分析；受到分析
[10] андский | 形容词 | 安第斯的；安第斯山的
[11] аниматор | 名词 | 动画师；文艺活动组织者
[12] анимационный | 形容词 | 动画的；动画片的
[13] анисин | 名词 | 阿尼斯（人名/茴香相关，待核）
[14] аннигилятор | 名词 | 湮灭器；消除者
[15] аннулироваться | 动词 | 被注销；被废除
[16] антиплагиат | 名词 | 反剽窃软件；查重系统
[17] антонимический | 形容词 | 反义的；反义关系的
[18] ароматизатор | 名词 | 增香剂；芳香剂
[19] арт-пряник | 名词 | 艺术姜饼；手绘姜饼
[20] арт-фартук | 名词 | 艺术围裙；装饰围裙
[21] архангельский | 形容词 | 阿尔汉格尔斯克的
[22] аскания-новый | 形容词 | 阿斯卡尼亚-诺瓦的（自然保护区）
[23] астек | 名词 | 阿斯特克（阿兹特克变体音译）
[24] атесы | 名词 | 阿特斯（专名复数，待核）
[25] аудио | 名词 | 音频；有声的
[26] аудиозадание | 名词 | 听力作业；音频任务
[27] аудиотекста | 名词 | 音频文本（属格）
[28] аудиотекст | 名词 | 音频文本；有声文本
[29] баж | 名词 | 巴日（人名/专名，待核）
[30] баксанский | 形容词 | 巴克桑的
[31] бантик | 名词 | 蝴蝶结；小蝴蝶结
[32] беждение | 名词 | 信念（疑似убеждение错词）
[33] безотходный | 形容词 | 无废料的；零排放的
[34] безпарный | 形容词 | 无对的；不成对的（旧拼写）
[35] бермудский | 形容词 | 百慕大的
[36] беспредложный | 形容词 | 无前置词的
[37] билайн | 名词 | Beeline（移动通信品牌）
[38] биотехнолог | 名词 | 生物技术专家
[39] битовый | 形容词 | 比特的；位的
[40] блогер | 名词 | 博主；博客作者
[41] блокбастер | 名词 | 大片；重磅电影
[42] богородицкий | 形容词 | 圣母的；博戈罗季茨克的
[43] бодунковы | 名词 | 博东科夫一家（专名复数）
[44] брат-карбонарий | 名词 | 烧炭党兄弟；革命志士
[45] брачуяться | 动词 | 结婚；结为夫妇
[46] британо-российский | 形容词 | 英俄的
[47] букингемский | 形容词 | 白金汉的
[48] варадеро | 名词 | 巴拉德罗（古巴地名）
[49] ве | 其他 | 词形残缺，待人工核对
[50] вележ | 名词 | 韦列日（专名，待核）
[51] весенне-летний | 形容词 | 春夏的
[52] ветлечебница | 名词 | 兽医诊所
[53] взаимоисключение | 名词 | 互斥；相互排斥
[54] взлюбить | 动词 | 爱上；钟情于
[55] взросление | 名词 | 成年；长大
[56] видеохостинг | 名词 | 视频托管；视频平台
[57] видовременный | 形容词 | 体时的；时体的
[58] видывать | 动词 | 曾看见；见过（多次）
[59] винзавод | 名词 | 葡萄酒厂
[60] винтик | 名词 | 小螺丝；螺丝钉
[61] владивостокский | 形容词 | 符拉迪沃斯托克的；海参崴的
[62] вложиться | 动词 | 投入；花费（口语）
[63] внедряться | 动词 | 被推行；被采用
[64] возмичныенявма | 名词 | 词形残缺，疑似OCR错误
[65] волго-донской | 形容词 | 伏尔加-顿河的
[66] воспитаться | 动词 | 受教育；养成
[67] воссоздаваться | 动词 | 被重现；被重建
[68] востребованность | 名词 | 需求度；受欢迎程度
[69] впечатлить | 动词 | 使印象深刻；打动
[70] вседозволенность | 名词 | 为所欲为；不受约束
[71] встраиваться | 动词 | 被嵌入；被纳入
[72] вузовский | 形容词 | 高校的；大学的
[73] выключаться | 动词 | 被关闭；断电
[74] вынужденность | 名词 | 被迫性；无奈
[75] выпаться | 动词 | 掉落；脱出（疑似变体，待核）
[76] выплывый | 形容词 | 浮出的；浮现的（待核）
[77] выработаться | 动词 | 形成；养成（习惯）
[78] выруливаться | 动词 | 被驶出；被解决（口语）
[79] высевать | 动词 | 播种；撒播
[80] высекаться | 动词 | 被凿出；被刻出
[81] гаджет | 名词 | 小工具；电子设备
