[1] направленность | 名词 | 方向性；倾向
[2] например | 副词 | 例如；比方说
[3] напугать | 动词 | 吓唬；使害怕
[4] наречие | 名词 | 副词；方言
[5] наружное | 形容词 | 外用的；表面的（中性）
[6] наследственный | 形容词 | 遗传的；世袭的
[7] наслушаться | 动词 | 听够；听腻
[8] наставлять | 动词 | 教导；安装
[9] настой | 名词 | 浸剂；汤剂
[10] настоятельно | 副词 | 坚决地；迫切地
[11] настоятельный | 形容词 | 坚决的；迫切的
[12] настояться | 动词 | 发酵；静置
[13] натолкнуться | 动词 | 撞上；偶然发现
[14] натянуть | 动词 | 拉紧；绷紧
[15] наутро | 副词 | 次日早晨
[16] начало | 名词 | 开始；起点
[17] начать | 动词 | 开始
[18] начитанность | 名词 | 博学；阅读广
[19] небогатый | 形容词 | 不富裕的；贫乏的
[20] неверный | 形容词 | 不正确的；不忠的
[21] невольно | 副词 | 不由自主地
[22] негодование | 名词 | 愤慨
[23] недалекий | 形容词 | 不远的；不聪明的
[24] недооценивать | 动词 | 低估
[25] недопустимо | 副词 | 不可容忍地；绝不能
[26] незамедлительно | 副词 | 立即；毫不迟延
[27] незамедлительный | 形容词 | 立即的；刻不容缓的
[28] неизменно | 副词 | 始终不变地
[29] неинтересный | 形容词 | 无趣的
[30] нелюдимый | 形容词 | 孤僻的；不爱交际的
[31] необычно | 副词 | 不寻常地
[32] неодобрение | 名词 | 不赞成
[33] неофициальный | 形容词 | 非官方的
[34] непонятно | 副词 | 不清楚；莫名其妙
[35] непохожий | 形容词 | 不像的；不同的
[36] непродуманный | 形容词 | 考虑不周的
[37] нерадивый | 形容词 | 懈怠的；马虎的
[38] несдержанный | 形容词 | 不克制的；冲动的
[39] несерьезный | 形容词 | 不严肃的
[40] нескладный | 形容词 | 不匀称的；别扭的
[41] несова | 其他 | 缩写：未完成体，待核
[42] несогласие | 名词 | 不同意；不一致
[43] несостоятельность | 名词 | 无根据；破产
[44] несостоятельный | 形容词 | 站不住脚的；破产的
[45] неспособность | 名词 | 无能；无能力
[46] несущий | 形容词 | 承载的；起支撑作用的
[47] нет | 副词 | 不；没有
[48] нетрудный | 形容词 | 不难的；容易的
[49] неудовлетворенность | 名词 | 不满；不满足
[50] неуравновешенный | 形容词 | 不平衡的；情绪不稳的
[51] нидерланды | 专有名词 | 荷兰
[52] низкопробный | 形容词 | 劣质的；低劣的
[53] низость | 名词 | 卑鄙；低下
[54] новое | 名词 | 新事物；新东西
[55] нотный | 形容词 | 乐谱的；记谱的
[56] ночное | 形容词 | 夜的；夜间的（中性）
[57] ноша | 名词 | 重担；负荷
[58] ношение | 名词 | 佩戴；穿着
[59] нсв | 其他 | 缩写：未完成体
[60] ный | 其他 | 词形残缺，形容词词尾
[61] об | 前置词 | 关于；碰
[62] обволакивать | 动词 | 笼罩；包住
[63] обманчивый | 形容词 | 靠不住的；骗人的
[64] обо | 前置词 | 关于（接代词的变体）
[65] обоснование | 名词 | 论证；依据
[66] обособляться | 动词 | 孤立；突出
[67] общепринятый | 形容词 | 公认的
[68] общинный | 形容词 | 公社的；公社制的
[69] объяснение | 名词 | 解释；说明
[70] объяснительный | 形容词 | 解释的；说明的
[71] обыденный | 形容词 | 日常的；平凡的
[72] обыкновенно | 副词 | 通常；平常
[73] обычно | 副词 | 通常
[74] одеваться | 动词 | 穿衣
[75] одиночный | 形容词 | 单独的；个体的
[76] одолеть | 动词 | 战胜；克服
[77] оживить | 动词 | 使活跃；使复活
[78] ознакомление | 名词 | 熟悉；了解
[79] окинуть | 动词 | 扫视；环顾
[80] оконный | 形容词 | 窗户的
[81] окружающие | 名词 | 周围的人；环境
[82] оповестить | 动词 | 通知；通告
[83] опоздать | 动词 | 迟到
[84] опор | 名词 | 支柱（属格）
[85] определенно | 副词 | 明确地；确实
[86] опробовать | 动词 | 试验；试用
[87] опт | 名词 | 批发
[88] оптом | 副词 | 批发地
[89] ораторский | 形容词 | 演说的；雄辩的
[90] ослушаться | 动词 | 违抗；不听从
[91] основное | 名词 | 要点；主要部分
[92] особа | 名词 | 人物；要人
[93] ость | 其他 | 词形残缺，名词后缀
[94] осчастливить | 动词 | 使幸福；使庆幸
[95] отбиваться | 动词 | 击退；摆脱
[96] отдаваться | 动词 | 献身；被交出
[97] отдаленность | 名词 | 遥远；疏远
[98] отделенный | 形容词 | 隔开的；被分开的
[99] отжать | 动词 | 榨出；挤出
[100] отжимать | 动词 | 榨取；拧干
[101] отзыв | 名词 | 评论；召回
[102] отливать | 动词 | 倒出；铸造
[103] отлично | 副词 | 极好；出色
[104] отослать | 动词 | 寄出；送走
[105] отправка | 名词 | 发送；寄出
[106] отр | 其他 | 词形残缺，待人工核对
[107] отрезка | 名词 | 切下；截断
[108] отсчет | 名词 | 计算；倒计时
[109] отсылать | 动词 | 寄送；发送
[110] оттепель | 名词 | 解冻；暖和天气
[111] оттягивать | 动词 | 拖延；拉回
[112] отцов | 形容词 | 父亲的（属格）
[113] отчаиваться | 动词 | 绝望；丧失信心
[114] отшлифовать | 动词 | 磨光；润色
[115] охват | 名词 | 范围；涵盖
[116] охранный | 形容词 | 保卫的；防护的
[117] очищение | 名词 | 净化；清洗
[118] ошибочно | 副词 | 错误地
[119] падаль | 名词 | 腐肉；尸体
[120] падеж | 名词 | 格（语法）；坠落
[121] пал | 动词 | 倒下；枯死（过去时）
[122] пальцев | 名词 | 手指（属格复数）
[123] парадное | 名词 | 正门；前厅
[124] парка | 名词 | 派克衫；风雪大衣
[125] парочка | 名词 | 一对；小两口
[126] патока | 名词 | 糖蜜；饴糖
[127] пенс | 名词 | 养老金；津贴（待核）
[128] первенец | 名词 | 长子；初次成果
[129] первоклассный | 形容词 | 一流的；头等的
[130] переговорить | 动词 | 谈妥；交谈
[131] перегореть | 动词 | 烧坏；燃尽
[132] передохнуть | 动词 | 歇口气；喘口气
[133] переезд | 名词 | 搬迁；立交桥
[134] перекупщик | 名词 | 倒卖者；二道贩子
[135] переломный | 形容词 | 转折的；决定性的
[136] перенестись | 动词 | 转移；神游
[137] перепечатка | 名词 | 重印；翻印
[138] переплатить | 动词 | 多付；超付
[139] переполненный | 形容词 | 挤满的；洋溢的
[140] пересчитывать | 动词 | 重数；清点
[141] пересылка | 名词 | 转发；寄递
[142] пермский | 形容词 | 彼尔姆的
[143] персия | 专有名词 | 波斯（古称）
[144] перу | 名词 | 笔（属格）；秘鲁（待核）
[145] петлять | 动词 | 蜿蜒；绕行
[146] петухов | 名词 | 公鸡（属格）
[147] пилотаж | 名词 | 飞行术；特技飞行
[148] пирога | 名词 | 独木舟；皮艇
[149] плагиат | 名词 | 剽窃；抄袭
[150] плакаться | 动词 | 诉苦；哭泣
[151] планет | 名词 | 行星（属格复数）
[152] планшет | 名词 | 平板；绘图板
[153] пластика | 名词 | 塑性；造型艺术
[154] плат | 名词 | 头巾；披肩
[155] плодить | 动词 | 繁殖；滋生
[156] плодиться | 动词 | 繁殖；孳生
[157] плотва | 名词 | 拟鲤（鱼）
[158] плотность | 名词 | 密度；浓度
[159] по-моему | 副词 | 依我看；按我的
[160] поверх | 副词 | 在上面；表面
[161] повиноваться | 动词 | 服从；顺从
[162] погибший | 形容词 | 牺牲的；死去的
[163] поглощение | 名词 | 吸收；吞没
[164] податливый | 形容词 | 顺从的；易弯的
[165] подбивать | 动词 | 钉上；怂恿
[166] подглядывать | 动词 | 偷看；窥视
[167] поддаться | 动词 | 听从；屈服
[168] подкожный | 形容词 | 皮下的
[169] подлежащее | 名词 | 主语（语法）
