австралийский, 澳大利亚的
аккуратный, 整洁地，认真地，准时地
акционерный, 股份的 (常接 общество 股份公司)
археологический, 考古学的
архитектурный, 建筑学的，建筑的
безвредный, 无害的
бережный, 爱惜的，小心的，谨慎的
взаимный, 相互的
вредный, 有害地
глобальный, 全球的，全局的
дверной, 门的
дипломный, 毕业文凭的，毕业设计的
достойный, 值得的，相称的
доступный, 容易理解的，可获得的
драгоценный, 贵重的，珍贵的
жестокий, 残酷的，无情的
живой, 活的，生动的，有生命的
исполнительный, 执行的，勤奋的
классический, 古典的，经典的
лазерный, 激光的
летний, 夏天的，夏季的
мастичный, 树脂的，玛𤧛脂的
медлительный, 迟缓的，慢吞吞的
младший, 在较小/较年轻的...上
мокрый, 湿的，潮湿的
монументальный, 宏伟的，纪念碑式的
мудрый, 明智的，智慧的
натуральный, 自然的，天然的
неведомый, 未知的，不知名的
новорождённый, 新生的 / 新生儿
ноябрьский, 十一月的
областной, 州的，领域的
обширный, 广阔的，广泛的
огненный, 火的，燃烧的
орнаментный, 装饰性的，花纹的
остроумный, 机智地，风趣地
отечественный, 祖国的，国产的
очаровательный, 迷人的，可爱的
персональный, 个人的，专属的
печальный, 悲伤的，可悲的
питательный, 营养的，滋补的
пожарный, 消防员 / 消防的
полярный, 极地的，北极的
порядочный, 正派的，体面的
почтовый, 邮政的
практический, 实践的，实际的
простой, 简单的，普通的
противоположный, 相反地，对立地
птичий, 鸟的
равноценный, 等价的，同等价值的
разумный, 理智的，合理的
редкий, 不罕见地，常常
свойственный, 特有的，固有的
святой, 神圣的，圣人
сказочный, 童话般的，奇妙的
склонный, 倾向于...的 (短尾)
скорый, 更快地 / 宁可，与其
смертельный, 致命的，致死的
снисходительный, 宽容的，居高临下的
суровый, 严厉的，严寒的，艰苦的
тоталитарный, 极权主义的
трагический, 悲剧性的，悲惨的
тропический, 热带的
устойчивый, 稳定的，稳固的
утренний, 早晨的
учительский, 教师的
фарфоровый, 瓷器的，陶瓷的
федеральный, 联邦的
финансовый, 财务的，金融的
художественный, 艺术的，美术的
часовой, 手表的，一小时的 / 哨兵
честный, 诚实的
чёткий, 清晰地，明确地
элементарный, 基本的，初级的
пло́тный, 密集的，浓厚的，结实的
перечи́сленный, 被列举的，上述的
определённый, 确定的，一定的，具体的
со́бственный, 自己的，本身的
винова́тый, 有过错的，愧疚的
актуа́льный, 迫切的，现实的，具有现实意义的
